1,314,5
1,439,3
1,588,5
1,1169,4
1,1185,4
1,2077,4
1,2487,4
1,2900,5
1,3662,4
1,3922,5
2,3922,5
2,5115,4
2,5436,5
2,5461,4
2,5885,4
2,6063,1
2,6342,3
2,6630,5
2,8167,2
2,9731,4
2,10111,5
2,10140,3
2,10288,5
2,10509,2
2,10610,5
2,10751,3
2,10944,5
2,11285,4
2,11408,5
2,11691,4
2,11692,3
3,18031,3
3,18313,5
3,19724,4
3,19942,4
3,19984,2
3,20076,3
3,20782,4
3,20848,4
3,21228,3
3,21487,3
3,21733,1
3,22602,3
3,23576,1
3,23612,3
3,24326,3
3,24389,3
4,439,5
4,1169,5
4,2324,5
4,2487,5
4,3739,5
4,3922,4
4,4606,1
4,5115,5
4,5436,5
4,6342,5
4,6630,4
4,8167,5
4,8178,5
4,9246,4
4,10140,4
4,11285,3
4,11691,5
4,11692,5
4,11868,3
4,11945,5
4,12381,5
5,3739,5
5,3922,2
5,5115,3
5,5461,5
5,6342,5
5,6630,3
5,7001,5
5,8167,4
5,8370,3
5,9246,3
5,10111,5
6,9195,3
6,9246,2
6,9722,5
6,10727,5
6,11599,4
6,11691,3
6,11927,5
6,12476,4
6,13282,5
6,14222,4
6,14285,4
6,15318,4
6,16569,5
6,16913,5
6,17329,5
6,17405,4
6,17984,4
6,18031,1
6,18179,1
6,18199,5
6,18316,5
7,439,3
7,951,5
7,2324,5
7,3022,3
7,3739,5
7,3922,5
7,4536,3
7,5115,4
7,5436,5
7,5461,5
7,5629,3
7,6063,4
7,6630,5
7,6634,4
8,1952,4
8,2276,4
8,2324,5
8,2900,3
8,3022,1
8,3922,1
8,4606,2
8,5461,4
8,6342,5
8,6630,4
8,7001,5
8,9246,4
8,9771,5
8,10140,3
8,10246,5
8,11285,3
8,11691,5
8,11868,2
8,11945,5
8,12381,3
8,12874,4
8,12946,4
8,13034,4
9,11999,3
9,12466,1
9,12874,5
9,13034,5
9,13544,3
9,13794,2
9,13991,4
9,14248,3
9,14372,2
9,14936,4
9,15494,3
9,15604,4
9,16177,2
9,17566,4
9,17643,3
9,17984,4
9,18031,3
10,3662,4
10,3922,5
10,4536,2
